name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee
Damien Le Tallec,Defensive Midfield,32,1,Greece,Super League 1,AEK Athens,Russia,Premier Liga,Torpedo Moscow,free transfer
Cyrus Christie,Right-Back,29,1,England,Premier League,Fulham FC,England,Championship,Hull City,free transfer
Anthony Musaba,Right Winger,21,1,Monaco,Ligue 1,AS Monaco,France,Ligue 2,FC Metz,loan transfer
Aslak Witry,Right-Back,26,1,Netherlands,Eredivisie,AZ Alkmaar,Bulgaria,efbet Liga,Ludogorets Razgrad,?
Dereck Kutesa,Left Winger,24,1,France,Ligue 1,Stade Reims,Switzerland,Super League,Servette FC,?
Karim Ansarifard,Centre-Forward,32,1,Greece,Super League 1,AEK Athens,Cyprus,Protathlima Cyta,Omonia Nicosia,free transfer
Luca Valzania,Central Midfield,26,1,Italy,Serie A,US Cremonese,Italy,Serie B,SPAL,loan transfer
Heri,Right Winger,25,1,Portugal,Liga Portugal,FC Famalicão,Spain,LaLiga2,SD Ponferradina,loan transfer
Melayro Bogarde,Defensive Midfield,20,1,Germany,Bundesliga,TSG 1899 Hoffenheim,Netherlands,Keuken Kampioen Divisie,PEC Zwolle,loan transfer
Alfred N'Diaye,Defensive Midfield,32,1,Saudi Arabia,Professional League,Al-Shabab Club (Riyadh),Spain,LaLiga2,Málaga CF,free transfer
Gabriel Fuentes,Left-Back,25,1,Colombia,Liga DIMAYOR II,Junior FC,Spain,LaLiga2,Real Zaragoza,loan transfer
Jason Berthomier,Attacking Midfield,32,1,France,Ligue 1,Clermont Foot 63,France,Ligue 2,Valenciennes FC,free transfer
Luca Palmiero,Defensive Midfield,26,1,Italy,Serie A,SSC Napoli,Italy,Serie C - C,Delfino Pescara 1936,?
Elio Capradossi,Centre-Back,26,1,Italy,Serie A,Spezia Calcio,Italy,Serie B,Cagliari Calcio,?
Vadim Rata,Central Midfield,29,1,Romania,SuperLiga,FCSB,Romania,SuperLiga,FC Voluntari,free transfer
Derrick Luckassen,Centre-Back,27,1,Netherlands,Eredivisie,PSV Eindhoven,Israel,Ligat ha'Al,Maccabi Tel Aviv,?
Kazimcan Karatas,Left-Back,19,0.95,Turkey,1.Lig,Altay SK,Turkey,Süper Lig,Galatasaray A.S.,1
Alberto Paleari,Goalkeeper,29,1,Italy,Serie B,Genoa CFC,Italy,Serie B,Benevento Calcio,1
Albert Vallci,Right-Back,27,1,Austria,Bundesliga,Red Bull Salzburg,Switzerland,Super League,FC St. Gallen 1879,1
Valentin Costache,Left Winger,23,1,Romania,SuperLiga,CFR Cluj,Romania,SuperLiga,FC Rapid 1923,0.1
Tolga Cigerci,Defensive Midfield,30,1,Turkey,Süper Lig,Istanbul Basaksehir FK,Turkey,Süper Lig,MKE Ankaragücü,free transfer
Dogan Erdogan,Defensive Midfield,25,1,Turkey,Süper Lig,Gaziantep FK,Netherlands,Eredivisie,Fortuna Sittard,free transfer
Baldomero Perlaza,Central Midfield,30,1,Colombia,Liga DIMAYOR II,Atlético Nacional,Argentina,Liga Profesional,CA Colon,free transfer
Alpaslan Öztürk,Centre-Back,28,1,Turkey,Süper Lig,Galatasaray A.S.,Turkey,1.Lig,Eyüpspor,loan transfer
Rafael Carrascal,Central Midfield,29,1,Colombia,Liga DIMAYOR II,CD América de Cali,Paraguay,Primera División Clausura,Club Cerro Porteño,?
Isaque,Attacking Midfield,25,1,Brazil,Série B,Grêmio Foot-Ball Porto Alegrense,Brazil,Série B,Guarani Futebol Clube (SP),loan transfer
Willian Maranhão,Defensive Midfield,26,1,Brazil,Série A,Santos FC,Brazil,Série A,Atlético Clube Goianiense,loan transfer
Luca Vido,Centre-Forward,25,1,Italy,Serie A,Atalanta BC,Italy,Serie B,Palermo FC,loan transfer
Andreas Hansen,Goalkeeper,26,0.3,Denmark,Superligaen,Aalborg BK,Denmark,Superligaen,FC Nordsjaelland,1
Mohamed Sobhi,Goalkeeper,23,0.5,Egypt,Premier League,Zamalek SC,Egypt,Premier League,Pharco FC,1
Josué Colmán,Left Winger,23,1,Paraguay,Primera División Clausura,Club Guaraní,Mexico,Liga MX Apertura,Mazatlán FC,2
Carlton Morris,Centre-Forward,26,1,England,League One,Barnsley FC,England,Championship,Luton Town,2
Oliver Zandén,Left-Back,20,1,Sweden,Allsvenskan,IF Elfsborg,France,Ligue 1,FC Toulouse,1
Pawel Jaroszynski,Left-Back,27,0.6,Italy,Serie B,Genoa CFC,Italy,Serie A,US Salernitana 1919,1
Marko Divkovic,Centre-Forward,23,0.7,Slovakia,Fortuna Liga,DAC Dunajska Streda,Denmark,Superligaen,Bröndby IF,1
Jayson Molumby,Central Midfield,22,1,England,Premier League 2,Brighton & Hove Albion U21,England,Championship,West Bromwich Albion,1
Lyle Foster,Centre-Forward,21,0.8,Portugal,Without League,Vitória Guimarães SC B,Belgium,Jupiler Pro League,KVC Westerlo,1
Aziz,Centre-Forward,23,1,Portugal,Liga Portugal,Vitória Guimarães SC,Portugal,Liga Portugal,Rio Ave FC,1
Anton Kade,Left Winger,18,0.75,Germany,Bundesliga,Hertha BSC,Switzerland,Super League,FC Basel 1893,1
Maarten Paes,Goalkeeper,24,0.9,Netherlands,Eredivisie,FC Utrecht,United States,MLS,FC Dallas,1
Joaquín Ardaiz,Centre-Forward,23,0.5,Switzerland,Challenge League,FC Schaffhausen,Switzerland,Super League,FC Luzern,1
Melle Meulensteen,Centre-Back,22,0.8,Netherlands,Eredivisie,RKC Waalwijk,Netherlands,Eredivisie,Vitesse Arnhem,1
Matheus Pereira,Central Midfield,24,0.5,Spain,Primera Federación - Gr. II,FC Barcelona Atlètic,Spain,LaLiga2,SD Eibar,1
Álvaro Leiva,Second Striker,17,0.5,Spain,Primera Federación - Gr. I,Algeciras CF,Spain,Primera Federación - Gr. I,Real Madrid Castilla,1
Rodrigo Guth,Centre-Back,21,0.75,Italy,Serie A,Atalanta BC,Netherlands,Eredivisie,Fortuna Sittard,1
Vitinho,Right-Back,23,1,Belgium,Jupiler Pro League,Cercle Brugge ,England,Championship,Burnley FC,1
Luka Hyryläinen,Defensive Midfield,17,-,Germany,U19-BL S/SW,Eintracht Frankfurt U19,Germany,Regionalliga Südwest,TSG 1899 Hoffenheim II,1
Adrian Rus,Centre-Back,26,0.9,Hungary,NB I.,MOL Fehérvár FC,Italy,Serie B,Pisa Sporting Club,1
