name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee
Erling Haaland,Centre-Forward,21,150,Germany,Bundesliga,Borussia Dortmund,England,Premier League,Manchester City,60
Antony,Right Winger,22,35,Netherlands,Eredivisie,Ajax Amsterdam,England,Premier League,Manchester United,95
Wesley Fofana,Centre-Back,21,40,England,Premier League,Leicester City,England,Premier League,Chelsea FC,80
Aurélien Tchouameni,Defensive Midfield,22,60,Monaco,Ligue 1,AS Monaco,Spain,LaLiga,Real Madrid,80
Darwin Núñez,Centre-Forward,23,55,Portugal,Liga Portugal,SL Benfica,England,Premier League,Liverpool FC,75
Casemiro,Defensive Midfield,30,40,Spain,LaLiga,Real Madrid,England,Premier League,Manchester United,70
Alexander Isak,Centre-Forward,22,30,Spain,LaLiga,Real Sociedad,England,Premier League,Newcastle United,70
Matthijs de Ligt,Centre-Back,22,70,Italy,Serie A,Juventus FC,Germany,Bundesliga,Bayern Munich,67
Raheem Sterling,Left Winger,27,70,England,Premier League,Manchester City,England,Premier League,Chelsea FC,56
Sadio Mané,Left Winger,30,70,England,Premier League,Liverpool FC,Germany,Bundesliga,Bayern Munich,32
Romelu Lukaku,Centre-Forward,29,70,England,Premier League,Chelsea FC,Italy,Serie A,Inter Milan,8
Marc Cucurella,Left-Back,24,28,England,Premier League,Brighton & Hove Albion,England,Premier League,Chelsea FC,65
Federico Chiesa,Right Winger,24,65,Italy,Serie A,ACF Fiorentina,Italy,Serie A,Juventus FC,40
Jules Koundé,Centre-Back,23,60,Spain,LaLiga,Sevilla FC,Spain,LaLiga,FC Barcelona,50
Richarlison,Centre-Forward,25,48,England,Premier League,Everton FC,England,Premier League,Tottenham Hotspur,58
Raphinha,Right Winger,25,45,England,Premier League,Leeds United,Spain,LaLiga,FC Barcelona,58
Lisandro Martínez,Centre-Back,24,32,Netherlands,Eredivisie,Ajax Amsterdam,England,Premier League,Manchester United,57
Fabián Ruiz,Central Midfield,26,55,Italy,Serie A,SSC Napoli,France,Ligue 1,Paris Saint-Germain,23
Gabriel Jesus,Centre-Forward,25,50,England,Premier League,Manchester City,England,Premier League,Arsenal FC,52
Cristian Romero,Centre-Back,24,48,Italy,Serie A,Atalanta BC,England,Premier League,Tottenham Hotspur,50
Kalvin Phillips,Defensive Midfield,26,50,England,Premier League,Leeds United,England,Premier League,Manchester City,49
Carlos Soler,Central Midfield,25,50,Spain,LaLiga,Valencia CF,France,Ligue 1,Paris Saint-Germain,18
Paul Pogba,Central Midfield,29,48,England,Premier League,Manchester United,Italy,Serie A,Juventus FC,free transfer
Robert Lewandowski,Centre-Forward,33,45,Germany,Bundesliga,Bayern Munich,Spain,LaLiga,FC Barcelona,45
Matheus Nunes,Central Midfield,23,35,Portugal,Liga Portugal,Sporting CP,England,Premier League,Wolverhampton Wanderers,45
Franck Kessié,Central Midfield,25,45,Italy,Serie A,AC Milan,Spain,LaLiga,FC Barcelona,free transfer
Lucas Paquetá,Attacking Midfield,25,35,France,Ligue 1,Olympique Lyon,England,Premier League,West Ham United,42
Amine Gouiri,Centre-Forward,22,42,France,Ligue 1,OGC Nice,France,Ligue 1,Stade Rennais FC,28
Vitinha,Central Midfield,22,30,Portugal,Liga Portugal,FC Porto,France,Ligue 1,Paris Saint-Germain,41
Bremer,Centre-Back,25,35,Italy,Serie A,Torino FC,Italy,Serie A,Juventus FC,41
Nuno Mendes,Left-Back,20,40,Portugal,Liga Portugal,Sporting CP,France,Ligue 1,Paris Saint-Germain,38
Gonçalo Guedes,Left Winger,25,40,Spain,LaLiga,Valencia CF,England,Premier League,Wolverhampton Wanderers,32
Diego Carlos,Centre-Back,29,40,Spain,LaLiga,Sevilla FC,England,Premier League,Aston Villa,31
Antonio Rüdiger,Centre-Back,29,40,England,Premier League,Chelsea FC,Spain,LaLiga,Real Madrid,free transfer
Kalidou Koulibaly,Centre-Back,31,35,Italy,Serie A,SSC Napoli,England,Premier League,Chelsea FC,38
Sven Botman,Centre-Back,22,30,France,Ligue 1,LOSC Lille,England,Premier League,Newcastle United,37
Gianluca Scamacca,Centre-Forward,23,30,Italy,Serie A,US Sassuolo,England,Premier League,West Ham United,36
Fábio Vieira,Attacking Midfield,22,25,Portugal,Liga Portugal,FC Porto,England,Premier League,Arsenal FC,35
Nayef Aguerd,Centre-Back,26,12,France,Ligue 1,Stade Rennais FC,England,Premier League,West Ham United,35
Oleksandr Zinchenko,Left-Back,25,25,England,Premier League,Manchester City,England,Premier League,Arsenal FC,35
Amadou Onana,Defensive Midfield,20,10,France,Ligue 1,LOSC Lille,England,Premier League,Everton FC,35
Sébastien Haller,Centre-Forward,28,35,Netherlands,Eredivisie,Ajax Amsterdam,Germany,Bundesliga,Borussia Dortmund,31
Karim Adeyemi,Right Winger,20,35,Austria,Bundesliga,Red Bull Salzburg,Germany,Bundesliga,Borussia Dortmund,30
Yves Bissouma,Central Midfield,25,35,England,Premier League,Brighton & Hove Albion,England,Premier League,Tottenham Hotspur,29
Timo Werner,Centre-Forward,26,35,England,Premier League,Chelsea FC,Germany,Bundesliga,RB Leipzig,20
Ryan Gravenberch,Central Midfield,20,35,Netherlands,Eredivisie,Ajax Amsterdam,Germany,Bundesliga,Bayern Munich,18
Niklas Süle,Centre-Back,26,35,Germany,Bundesliga,Bayern Munich,Germany,Bundesliga,Borussia Dortmund,free transfer
Andreas Christensen,Centre-Back,26,35,England,Premier League,Chelsea FC,Spain,LaLiga,FC Barcelona,free transfer
Paulo Dybala,Second Striker,28,35,Italy,Serie A,Juventus FC,Italy,Serie A,AS Roma,free transfer
Nico Schlotterbeck,Centre-Back,22,33,Germany,Bundesliga,SC Freiburg,Germany,Bundesliga,Borussia Dortmund,20
Brenden Aaronson,Attacking Midfield,21,25,Austria,Bundesliga,Red Bull Salzburg,England,Premier League,Leeds United,32
Charles De Ketelaere,Attacking Midfield,21,30,Belgium,Jupiler Pro League,Club Brugge KV,Italy,Serie A,AC Milan,32
Steven Bergwijn,Left Winger,24,18,England,Premier League,Tottenham Hotspur,Netherlands,Eredivisie,Ajax Amsterdam,31
Manuel Akanji,Centre-Back,27,30,Germany,Bundesliga,Borussia Dortmund,England,Premier League,Manchester City,17
André Zambo Anguissa,Defensive Midfield,26,30,England,Premier League,Fulham FC,Italy,Serie A,SSC Napoli,15
Renan Lodi,Left-Back,24,30,Spain,LaLiga,Atlético de Madrid,England,Premier League,Nottingham Forest,5
Tanguy Ndombélé,Central Midfield,25,30,England,Premier League,Tottenham Hotspur,Italy,Serie A,SSC Napoli,0.5
Angeliño,Left-Back,25,30,Germany,Bundesliga,RB Leipzig,Germany,Bundesliga,TSG 1899 Hoffenheim,loan transfer
Morgan Gibbs-White,Attacking Midfield,22,11,England,Premier League,Wolverhampton Wanderers,England,Premier League,Nottingham Forest,29
Renato Sanches,Central Midfield,24,28,France,Ligue 1,LOSC Lille,France,Ligue 1,Paris Saint-Germain,15
Leander Dendoncker,Defensive Midfield,27,28,England,Premier League,Wolverhampton Wanderers,England,Premier League,Aston Villa,15
Giacomo Raspadori,Second Striker,22,28,Italy,Serie A,US Sassuolo,Italy,Serie A,SSC Napoli,5
Hugo Ekitiké,Centre-Forward,20,28,France,Ligue 1,Stade Reims,France,Ligue 1,Paris Saint-Germain,loan transfer
Mohamed Camara,Defensive Midfield,22,27,Austria,Bundesliga,Red Bull Salzburg,Monaco,Ligue 1,AS Monaco,15
Xaver Schlager,Central Midfield,24,27,Germany,Bundesliga,VfL Wolfsburg,Germany,Bundesliga,RB Leipzig,12
Denis Zakaria,Defensive Midfield,25,27,Italy,Serie A,Juventus FC,England,Premier League,Chelsea FC,3
David Raum,Left-Back,24,20,Germany,Bundesliga,TSG 1899 Hoffenheim,Germany,Bundesliga,RB Leipzig,26
Luis Sinisterra,Left Winger,23,25,Netherlands,Eredivisie,Feyenoord Rotterdam,England,Premier League,Leeds United,25
Merih Demiral,Centre-Back,24,25,Italy,Serie A,Juventus FC,Italy,Serie A,Atalanta BC,20
João Palhinha,Defensive Midfield,26,25,Portugal,Liga Portugal,Sporting CP,England,Premier League,Fulham FC,20
Sasa Kalajdzic,Centre-Forward,25,25,Germany,Bundesliga,VfB Stuttgart,England,Premier League,Wolverhampton Wanderers,18
Mattéo Guendouzi,Central Midfield,23,25,England,Premier League,Arsenal FC,France,Ligue 1,Olympique Marseille,11
Pedro Porro,Right-Back,22,25,England,Premier League,Manchester City,Portugal,Liga Portugal,Sporting CP,8
Lucas Ocampos,Left Winger,28,25,Spain,LaLiga,Sevilla FC,Netherlands,Eredivisie,Ajax Amsterdam,4
Lorenzo Insigne,Left Winger,31,25,Italy,Serie A,SSC Napoli,Canada,MLS,Toronto FC,free transfer
Boubacar Kamara,Defensive Midfield,22,25,France,Ligue 1,Olympique Marseille,England,Premier League,Aston Villa,free transfer
Conor Coady,Centre-Back,29,25,England,Premier League,Wolverhampton Wanderers,England,Premier League,Everton FC,loan transfer
Nicolas Pépé,Right Winger,27,25,England,Premier League,Arsenal FC,France,Ligue 1,OGC Nice,loan transfer
Callum Hudson-Odoi,Right Winger,21,25,England,Premier League,Chelsea FC,Germany,Bundesliga,Bayer 04 Leverkusen,loan transfer
Sergio Reguilón,Left-Back,25,25,England,Premier League,Tottenham Hotspur,Spain,LaLiga,Atlético de Madrid,loan transfer
Nathan Collins,Centre-Back,21,10,England,Championship,Burnley FC,England,Premier League,Wolverhampton Wanderers,24
Dwight McNeil,Left Winger,22,18,England,Championship,Burnley FC,England,Premier League,Everton FC,24
Filip Kostic,Left Midfield,29,24,Germany,Bundesliga,Eintracht Frankfurt,Italy,Serie A,Juventus FC,12
Joaquín Correa,Second Striker,27,23,Italy,Serie A,SS Lazio,Italy,Serie A,Inter Milan,23
Calvin Bassey,Centre-Back,22,10,Scotland,Premiership,Rangers FC,Netherlands,Eredivisie,Ajax Amsterdam,23
Jérémie Boga,Left Winger,25,19,Italy,Serie A,US Sassuolo,Italy,Serie A,Atalanta BC,22
Sofiane Diop,Left Winger,22,20,Monaco,Ligue 1,AS Monaco,France,Ligue 1,OGC Nice,22
Thilo Kehrer,Centre-Back,25,22,France,Ligue 1,Paris Saint-Germain,England,Premier League,West Ham United,12
Cengiz Ünder,Right Winger,24,22,Italy,Serie A,AS Roma,France,Ligue 1,Olympique Marseille,8
James Tarkowski,Centre-Back,29,22,England,Championship,Burnley FC,England,Premier League,Everton FC,free transfer
Giovani Lo Celso,Central Midfield,26,22,England,Premier League,Tottenham Hotspur,Spain,LaLiga,Villarreal CF,loan transfer
Julian Weigl,Defensive Midfield,26,22,Portugal,Liga Portugal,SL Benfica,Germany,Bundesliga,Borussia Mönchengladbach,loan transfer
Jan Bednarek,Centre-Back,26,22,England,Premier League,Southampton FC,England,Premier League,Aston Villa,loan transfer
Éderson,Central Midfield,22,13,Italy,Serie A,US Salernitana 1919,Italy,Serie A,Atalanta BC,21
Maxwel Cornet,Left Winger,25,15,England,Championship,Burnley FC,England,Premier League,West Ham United,20
Taiwo Awoniyi,Centre-Forward,24,20,Germany,Bundesliga,1.FC Union Berlin,England,Premier League,Nottingham Forest,20
Philippe Coutinho,Left Winger,30,20,Spain,LaLiga,FC Barcelona,England,Premier League,Aston Villa,20
David Carmo,Centre-Back,22,15,Portugal,Liga Portugal,SC Braga,Portugal,Liga Portugal,FC Porto,20
Neco Williams,Right-Back,21,8,England,Premier League,Liverpool FC,England,Premier League,Nottingham Forest,20
Mathys Tel,Centre-Forward,17,2,France,Ligue 1,Stade Rennais FC,Germany,Bundesliga,Bayern Munich,20
Nahuel Molina,Right-Back,24,20,Italy,Serie A,Udinese Calcio,Spain,LaLiga,Atlético de Madrid,20
Arnaud Kalimuendo,Centre-Forward,20,18,France,Ligue 1,Paris Saint-Germain,France,Ligue 1,Stade Rennais FC,20
Umar Sadiq,Centre-Forward,25,18,Spain,LaLiga,UD Almería,Spain,LaLiga,Real Sociedad,20
Pervis Estupiñán,Left-Back,24,20,Spain,LaLiga,Villarreal CF,England,Premier League,Brighton & Hove Albion,17
David Neres,Right Winger,25,20,Ukraine,Premier Liga,Shakhtar Donetsk,Portugal,Liga Portugal,SL Benfica,15
Dodô,Right-Back,23,20,Ukraine,Premier Liga,Shakhtar Donetsk,Italy,Serie A,ACF Fiorentina,14
Adam Hlozek,Left Winger,19,20,Czech Republic,Fortuna Liga,AC Sparta Prague,Germany,Bundesliga,Bayer 04 Leverkusen,13
Nordi Mukiele,Right-Back,24,20,Germany,Bundesliga,RB Leipzig,France,Ligue 1,Paris Saint-Germain,12
Remo Freuler,Central Midfield,30,20,Italy,Serie A,Atalanta BC,England,Premier League,Nottingham Forest,9
Lucas Torreira,Defensive Midfield,26,20,England,Premier League,Arsenal FC,Turkey,Süper Lig,Galatasaray A.S.,6
Francisco Trincão,Right Winger,22,20,Spain,LaLiga,FC Barcelona,Portugal,Liga Portugal,Sporting CP,3
Antonin Barak,Attacking Midfield,27,20,Italy,Serie A,Hellas Verona,Italy,Serie A,ACF Fiorentina,1
Noussair Mazraoui,Right-Back,24,20,Netherlands,Eredivisie,Ajax Amsterdam,Germany,Bundesliga,Bayern Munich,free transfer
Christian Eriksen,Attacking Midfield,30,20,England,Premier League,Brentford FC,England,Premier League,Manchester United,free transfer
Andrea Pinamonti,Centre-Forward,23,20,Italy,Serie A,Inter Milan,Italy,Serie A,US Sassuolo,loan transfer
Nico González,Central Midfield,20,20,Spain,LaLiga,FC Barcelona,Spain,LaLiga,Valencia CF,loan transfer
Andrea Belotti,Centre-Forward,28,20,Italy,Serie A,Torino FC,Italy,Serie A,AS Roma,free transfer
Héctor Bellerín,Right-Back,27,20,England,Premier League,Arsenal FC,Spain,LaLiga,FC Barcelona,free transfer
Keane Lewis-Potter,Left Winger,21,12,England,Championship,Hull City,England,Premier League,Brentford FC,19
Arthur Theate,Centre-Back,22,15,Italy,Serie A,Bologna FC 1909,France,Ligue 1,Stade Rennais FC,19
Hassane Kamara,Left-Back,28,4,England,Championship,Watford FC,Italy,Serie A,Udinese Calcio,19
Min-jae Kim,Centre-Back,25,14,Turkey,Süper Lig,Fenerbahce SK,Italy,Serie A,SSC Napoli,18
Carney Chukwuemeka,Central Midfield,18,6,England,Premier League,Aston Villa,England,Premier League,Chelsea FC,18
Destiny Udogie,Left-Back,19,17,Italy,Serie A,Udinese Calcio,England,Premier League,Tottenham Hotspur,18
Aaron Hickey,Left-Back,20,18,Italy,Serie A,Bologna FC 1909,England,Premier League,Brentford FC,16
Gaëtan Laborde,Centre-Forward,28,18,France,Ligue 1,Stade Rennais FC,France,Ligue 1,OGC Nice,15
Brais Méndez,Right Winger,25,18,Spain,LaLiga,Celta de Vigo,Spain,LaLiga,Real Sociedad,14
Neal Maupay,Centre-Forward,26,18,England,Premier League,Brighton & Hove Albion,England,Premier League,Everton FC,11
Moussa Niakhaté,Centre-Back,26,18,Germany,Bundesliga,1.FSV Mainz 05,England,Premier League,Nottingham Forest,10
Mattia Zaccagni,Attacking Midfield,27,18,Italy,Serie A,Hellas Verona,Italy,Serie A,SS Lazio,7
Zeki Celik,Right-Back,25,18,France,Ligue 1,LOSC Lille,Italy,Serie A,AS Roma,7
Arthur Melo,Central Midfield,26,18,Italy,Serie A,Juventus FC,England,Premier League,Liverpool FC,4
Julian Draxler,Left Winger,28,18,France,Ligue 1,Paris Saint-Germain,Portugal,Liga Portugal,SL Benfica,2
Abdou Diallo,Centre-Back,26,18,France,Ligue 1,Paris Saint-Germain,Germany,Bundesliga,RB Leipzig,1
Matthias Ginter,Centre-Back,28,18,Germany,Bundesliga,Borussia Mönchengladbach,Germany,Bundesliga,SC Freiburg,free transfer
Jesse Lingard,Attacking Midfield,29,18,England,Premier League,Manchester United,England,Premier League,Nottingham Forest,free transfer
Dean Henderson,Goalkeeper,25,18,England,Premier League,Manchester United,England,Premier League,Nottingham Forest,loan transfer
Alex Telles,Left-Back,29,18,England,Premier League,Manchester United,Spain,LaLiga,Sevilla FC,loan transfer
Georginio Wijnaldum,Central Midfield,31,18,France,Ligue 1,Paris Saint-Germain,Italy,Serie A,AS Roma,loan transfer
Sergiño Dest,Right-Back,21,18,Spain,LaLiga,FC Barcelona,Italy,Serie A,AC Milan,loan transfer
André Gomes,Central Midfield,29,18,England,Premier League,Everton FC,France,Ligue 1,LOSC Lille,loan transfer
Daniel James,Right Winger,24,18,England,Premier League,Leeds United,England,Premier League,Fulham FC,loan transfer
Issa Diop,Centre-Back,25,10,England,Premier League,West Ham United,England,Premier League,Fulham FC,17
Matt Targett,Left-Back,26,17,England,Premier League,Aston Villa,England,Premier League,Newcastle United,17
Tyler Adams,Defensive Midfield,23,17,Germany,Bundesliga,RB Leipzig,England,Premier League,Leeds United,17
Rasmus Höjlund,Centre-Forward,19,4,Austria,Bundesliga,SK Sturm Graz,Italy,Serie A,Atalanta BC,17
Wout Faes,Centre-Back,24,10,France,Ligue 1,Stade Reims,England,Premier League,Leicester City,17
Tyrell Malacia,Left-Back,22,17,Netherlands,Eredivisie,Feyenoord Rotterdam,England,Premier League,Manchester United,15
Marcos Senesi,Centre-Back,25,17,Netherlands,Eredivisie,Feyenoord Rotterdam,England,Premier League,AFC Bournemouth,15
Jordan Veretout,Central Midfield,29,17,Italy,Serie A,AS Roma,France,Ligue 1,Olympique Marseille,11
Giovanni Simeone,Centre-Forward,26,17,Italy,Serie B,Cagliari Calcio,Italy,Serie A,Hellas Verona,10
Destiny Udogie,Left-Back,19,17,Italy,Serie A,Hellas Verona,Italy,Serie A,Udinese Calcio,4
Giovanni Simeone,Centre-Forward,27,17,Italy,Serie A,Hellas Verona,Italy,Serie A,SSC Napoli,3
Alessio Romagnoli,Centre-Back,27,17,Italy,Serie A,AC Milan,Italy,Serie A,SS Lazio,free transfer
Chancel Mbemba,Centre-Back,27,17,Portugal,Liga Portugal,FC Porto,France,Ligue 1,Olympique Marseille,free transfer
Destiny Udogie,Left-Back,19,17,England,Premier League,Tottenham Hotspur,Italy,Serie A,Udinese Calcio,loan transfer
Leandro Paredes,Defensive Midfield,28,17,France,Ligue 1,Paris Saint-Germain,Italy,Serie A,Juventus FC,loan transfer
Kasper Dolberg,Centre-Forward,24,17,France,Ligue 1,OGC Nice,Spain,LaLiga,Sevilla FC,loan transfer
Yusuf Yazici,Attacking Midfield,25,17,France,Ligue 1,LOSC Lille,Turkey,Süper Lig,Trabzonspor,loan transfer
Hee-chan Hwang,Centre-Forward,26,16,Germany,Bundesliga,RB Leipzig,England,Premier League,Wolverhampton Wanderers,16
Brian Brobbey,Centre-Forward,20,9,Germany,Bundesliga,RB Leipzig,Netherlands,Eredivisie,Ajax Amsterdam,16
Tanguy Nianzou,Centre-Back,20,9,Germany,Bundesliga,Bayern Munich,Spain,LaLiga,Sevilla FC,16
Roman Yaremchuk,Centre-Forward,26,15,Portugal,Liga Portugal,SL Benfica,Belgium,Jupiler Pro League,Club Brugge KV,16
Duje Caleta-Car,Centre-Back,25,16,France,Ligue 1,Olympique Marseille,England,Premier League,Southampton FC,10
Jeremiah St. Juste,Centre-Back,25,16,Germany,Bundesliga,1.FSV Mainz 05,Portugal,Liga Portugal,Sporting CP,9
Arkadiusz Milik,Centre-Forward,28,16,Italy,Serie A,SSC Napoli,France,Ligue 1,Olympique Marseille,8
Arkadiusz Milik,Centre-Forward,28,16,France,Ligue 1,Olympique Marseille,Italy,Serie A,Juventus FC,0.9
Randal Kolo Muani,Centre-Forward,23,16,France,Ligue 1,FC Nantes,Germany,Bundesliga,Eintracht Frankfurt,free transfer
Luiz Felipe,Centre-Back,25,16,Italy,Serie A,SS Lazio,Spain,LaLiga,Real Betis Balompié,free transfer
Matteo Pessina,Attacking Midfield,25,16,Italy,Serie A,Atalanta BC,Italy,Serie A,AC Monza,loan transfer
Luka Jović,Centre-Forward,24,16,Spain,LaLiga,Real Madrid,Italy,Serie A,ACF Fiorentina,free transfer
Bertrand Traoré,Right Winger,26,16,England,Premier League,Aston Villa,Turkey,Süper Lig,Istanbul Basaksehir FK,loan transfer
Dele Alli,Attacking Midfield,26,16,England,Premier League,Everton FC,Turkey,Süper Lig,Besiktas JK,loan transfer
Cheick Doucouré,Defensive Midfield,22,15,France,Ligue 1,RC Lens,England,Premier League,Crystal Palace,22
Takumi Minamino,Left Winger,27,12,England,Premier League,Liverpool FC,Monaco,Ligue 1,AS Monaco,15
Mikkel Damsgaard,Left Winger,22,15,Italy,Serie A,UC Sampdoria,England,Premier League,Brentford FC,15
Cesare Casadei,Central Midfield,19,1,Italy,Primavera 1,Inter Milan Primavera,England,Premier League 2,Chelsea FC U21,15
Éverton,Left Winger,26,15,Portugal,Liga Portugal,SL Benfica,Brazil,Série A,Clube de Regatas do Flamengo,13
Rasmus Kristensen,Right-Back,24,15,Austria,Bundesliga,Red Bull Salzburg,England,Premier League,Leeds United,13
Orel Mangala,Central Midfield,24,15,Germany,Bundesliga,VfB Stuttgart,England,Premier League,Nottingham Forest,13
Breel Embolo,Centre-Forward,25,15,Germany,Bundesliga,Borussia Mönchengladbach,Monaco,Ligue 1,AS Monaco,12
Pierre-Emerick Aubameyang,Centre-Forward,33,15,Spain,LaLiga,FC Barcelona,England,Premier League,Chelsea FC,12
Nick Pope,Goalkeeper,30,15,England,Championship,Burnley FC,England,Premier League,Newcastle United,11
Mathías Olivera,Left-Back,24,15,Spain,LaLiga,Getafe CF,Italy,Serie A,SSC Napoli,11
Momo Cho,Centre-Forward,18,15,France,Ligue 1,Angers SCO,Spain,LaLiga,Real Sociedad,11
Khvicha Kvaratskhelia,Left Winger,21,15,Georgia,Crystalbet Erovnuli Liga,Dinamo Batumi,Italy,Serie A,SSC Napoli,10
Enzo Fernández,Central Midfield,21,15,Argentina,Liga Profesional,CA River Plate,Portugal,Liga Portugal,SL Benfica,10
Mattias Svanberg,Central Midfield,23,15,Italy,Serie A,Bologna FC 1909,Germany,Bundesliga,VfL Wolfsburg,9
Jonathan Clauss,Right-Back,29,15,France,Ligue 1,RC Lens,France,Ligue 1,Olympique Marseille,7
Arthur Theate,Centre-Back,22,15,Belgium,Jupiler Pro League,KV Oostende,Italy,Serie A,Bologna FC 1909,6
Konstantinos Mavropanos,Centre-Back,24,15,England,Premier League,Arsenal FC,Germany,Bundesliga,VfB Stuttgart,3
Alexandre Lacazette,Centre-Forward,31,15,England,Premier League,Arsenal FC,France,Ligue 1,Olympique Lyon,free transfer
Corentin Tolisso,Central Midfield,27,15,Germany,Bundesliga,Bayern Munich,France,Ligue 1,Olympique Lyon,free transfer
Fábio Silva,Centre-Forward,20,15,England,Premier League,Wolverhampton Wanderers,Belgium,Jupiler Pro League,RSC Anderlecht,loan transfer
Nuno Tavares,Left-Back,22,15,England,Premier League,Arsenal FC,France,Ligue 1,Olympique Marseille,loan transfer
Harry Winks,Defensive Midfield,26,15,England,Premier League,Tottenham Hotspur,Italy,Serie A,UC Sampdoria,loan transfer
Amad Diallo,Right Winger,20,15,England,Premier League,Manchester United,England,Championship,Sunderland AFC,loan transfer
Justin Kluivert,Left Winger,23,15,Italy,Serie A,AS Roma,Spain,LaLiga,Valencia CF,loan transfer
Emmanuel Dennis,Centre-Forward,24,14,England,Championship,Watford FC,England,Premier League,Nottingham Forest,14
Djed Spence,Right-Back,21,8,England,Championship,Middlesbrough FC,England,Premier League,Tottenham Hotspur,14
Diego Rossi,Left Winger,24,14,United States,MLS,Los Angeles FC,Turkey,Süper Lig,Fenerbahce SK,5
Emerson,Left-Back,28,14,England,Premier League,Chelsea FC,England,Premier League,West Ham United,15
Gavin Bazunu,Goalkeeper,20,5,England,Premier League 2,Manchester City U21,England,Premier League,Southampton FC,14
Mohamed Bayo,Centre-Forward,24,12,France,Ligue 1,Clermont Foot 63,France,Ligue 1,LOSC Lille,14
Marcão,Centre-Back,26,14,Turkey,Süper Lig,Galatasaray A.S.,Spain,LaLiga,Sevilla FC,12
Sebastian Szymanski,Attacking Midfield,23,14,Russia,Premier Liga,Dynamo Moscow,Netherlands,Eredivisie,Feyenoord Rotterdam,2
Walter Benítez,Goalkeeper,29,14,France,Ligue 1,OGC Nice,Netherlands,Eredivisie,PSV Eindhoven,free transfer
Wout Weghorst,Centre-Forward,29,14,England,Championship,Burnley FC,Turkey,Süper Lig,Besiktas JK,loan transfer
Yangel Herrera,Central Midfield,24,14,England,Premier League,Manchester City,Spain,LaLiga,Girona FC,loan transfer
Kayky,Right Winger,19,14,England,Premier League 2,Manchester City U21,Portugal,Liga Portugal,FC Paços de Ferreira,loan transfer
Lucas Gourna-Douath,Defensive Midfield,18,10,France,Ligue 2,AS Saint-Étienne,Austria,Bundesliga,Red Bull Salzburg,13
Sékou Mara,Centre-Forward,19,3,France,Ligue 2,FC Girondins Bordeaux,England,Premier League,Southampton FC,13
Mattia Viti,Centre-Back,20,7,Italy,Serie A,FC Empoli,France,Ligue 1,OGC Nice,13
Sergio Gómez,Left-Back,21,10,Belgium,Jupiler Pro League,RSC Anderlecht,England,Premier League,Manchester City,13
Fredrik Aursnes,Defensive Midfield,26,12,Netherlands,Eredivisie,Feyenoord Rotterdam,Portugal,Liga Portugal,SL Benfica,13
Salih Özcan,Defensive Midfield,24,13,Germany,Bundesliga,1. FC Köln,Germany,Bundesliga,Borussia Dortmund,5
Calvin Stengs,Right Winger,23,13,France,Ligue 1,OGC Nice,Belgium,Jupiler Pro League,Royal Antwerp FC,loan transfer
Ethan Ampadu,Centre-Back,21,13,England,Premier League,Chelsea FC,Italy,Serie A,Spezia Calcio,loan transfer
Roméo Lavia,Defensive Midfield,18,2,England,Premier League 2,Manchester City U21,England,Premier League,Southampton FC,12
Pau López,Goalkeeper,27,12,Italy,Serie A,AS Roma,France,Ligue 1,Olympique Marseille,12
Marc Roca,Defensive Midfield,25,7,Germany,Bundesliga,Bayern Munich,England,Premier League,Leeds United,12
Agustín Álvarez,Centre-Forward,21,4,Uruguay,Primera División,CA Peñarol,Italy,Serie A,US Sassuolo,12
Chris Richards,Centre-Back,22,7,Germany,Bundesliga,Bayern Munich,England,Premier League,Crystal Palace,12
Alexis Beka Beka,Defensive Midfield,21,3,Russia,Premier Liga,Lokomotiv Moscow,France,Ligue 1,OGC Nice,12
Stanley Nsoki,Centre-Back,23,7,Belgium,Jupiler Pro League,Club Brugge KV,Germany,Bundesliga,TSG 1899 Hoffenheim,12
Gabriel Veron,Right Winger,19,12,Brazil,Série A,Sociedade Esportiva Palmeiras,Portugal,Liga Portugal,FC Porto,10
Billy Gilmour,Central Midfield,21,12,England,Premier League,Chelsea FC,England,Premier League,Brighton & Hove Albion,10
Luís Maximiano,Goalkeeper,23,12,Spain,LaLiga2,Granada CF,Italy,Serie A,SS Lazio,10
Willian José,Centre-Forward,30,12,Spain,LaLiga,Real Sociedad,Spain,LaLiga,Real Betis Balompié,10
Owen Wijndal,Left-Back,22,12,Netherlands,Eredivisie,AZ Alkmaar,Netherlands,Eredivisie,Ajax Amsterdam,10
Marko Grujic,Central Midfield,26,12,England,Premier League,Liverpool FC,Portugal,Liga Portugal,FC Porto,9
Samuele Ricci,Defensive Midfield,20,12,Italy,Serie A,FC Empoli,Italy,Serie A,Torino FC,8
Luiz Henrique,Right Winger,21,12,Brazil,Série A,Fluminense Football Club,Spain,LaLiga,Real Betis Balompié,8
Angelo Fulgini,Attacking Midfield,25,12,France,Ligue 1,Angers SCO,Germany,Bundesliga,1.FSV Mainz 05,6
Fábio Carvalho,Attacking Midfield,19,12,England,Premier League,Fulham FC,England,Premier League,Liverpool FC,5
João Pedro,Second Striker,30,12,Italy,Serie B,Cagliari Calcio,Turkey,Süper Lig,Fenerbahce SK,4
Idrissa Gueye,Central Midfield,32,12,France,Ligue 1,Paris Saint-Germain,England,Premier League,Everton FC,4
